id,sourceKey,sourceOrder,sourceName,sourceTitle,level,word,displayWord,slug,homograph,sense,partOfSpeech,meaningTh,meaningThClean,pronunciationTh,pronunciationThClean,ipa,exampleEn,exampleTh,notes,status,createdAt,updatedAt
oxford-3000-american::abandon::v::B2,oxford-3000-american::abandon::v::B2,1,oxford-3000-american,The Oxford 3000™ (American English),B2,abandon,abandon,abandon,,,v.,ละทิ้ง,ละทิ้ง,เอ อ ะ แบ ๊ น เด อ ะ น,เออะแบ๊นเดอะน,,,,,draft,2026-07-08T07:49:17.497+00:00,2026-07-08T08:29:22.694+00:00
oxford-3000-american::ability::n::A2,oxford-3000-american::ability::n::A2,2,oxford-3000-american,The Oxford 3000™ (American English),A2,ability,ability,ability,,,n.,คว า ม ส า ม า ร ถึง,ความสามารถึง,เอ อ ะ fi เห ล อ ะ ที,เออะfiเหลอะที,,,,,draft,2026-07-08T07:49:17.500+00:00,2026-07-08T08:29:22.713+00:00
oxford-3000-american::able::adj::A2,oxford-3000-american::able::adj::A2,3,oxford-3000-american,The Oxford 3000™ (American English),A2,able,able,able,,,adj.,ส า ม า ร ถ,สามารถ,เอ ๊ เบ อ ะ ล,เอ๊เบอะล,,,,,draft,2026-07-08T07:49:17.504+00:00,2026-07-08T08:29:22.725+00:00
oxford-3000-american::about::prep::A1,oxford-3000-american::about::prep::A1,4,oxford-3000-american,The Oxford 3000™ (American English),A1,about,about,about,,,prep.,เกี่ยวกับ,เกี่ยวกับ,เออะบ้าวถึ,เออะบ้าวถึ,,,,,draft,2026-07-08T07:49:17.506+00:00,2026-07-08T08:29:22.736+00:00
oxford-3000-american::about::adv::A1,oxford-3000-american::about::adv::A1,4,oxford-3000-american,The Oxford 3000™ (American English),A1,about,about,about,,,adv.,ละทิ้ง,ละทิ้ง,เออะบ้าวถึ,เออะบ้าวถึ,,,,,draft,2026-07-08T07:49:17.510+00:00,2026-07-08T08:29:22.736+00:00
oxford-3000-american::above::prep::A1,oxford-3000-american::above::prep::A1,5,oxford-3000-american,The Oxford 3000™ (American English),A1,above,above,above,,,prep.,ข้างบน,ข้างบน,เอ อ ะ ue ฝี,เออะueฝี,,,,,draft,2026-07-08T07:49:17.513+00:00,2026-07-08T08:29:22.745+00:00
oxford-3000-american::above::adv::A1,oxford-3000-american::above::adv::A1,5,oxford-3000-american,The Oxford 3000™ (American English),A1,above,above,above,,,adv.,ข้างบน,ข้างบน,เอ อ ะ ue ฝี,เออะueฝี,,,,,draft,2026-07-08T07:49:17.516+00:00,2026-07-08T08:29:22.745+00:00
oxford-3000-american::abroad::adv::B2,oxford-3000-american::abroad::adv::B2,6,oxford-3000-american,The Oxford 3000™ (American English),B2,abroad,abroad,abroad,,,adv.,ต่ า ง ป ร ะ เท ศ,ต่างประเทศ,เอ อ ะ บ ร ์ อ ด ี,เออะบร์อดี,,,,,draft,2026-07-08T07:49:17.520+00:00,2026-07-08T08:29:22.756+00:00
oxford-3000-american::absolute::adj::B2,oxford-3000-american::absolute::adj::B2,7,oxford-3000-american,The Oxford 3000™ (American English),B2,absolute,absolute,absolute,,,adj.,แน่น อ น,แน่นอน,แอ ๊ fi เส อ ะ ล ู ถึ,แอ๊fiเสอะลูถึ,,,,,draft,2026-07-08T07:49:17.524+00:00,2026-07-08T08:29:22.759+00:00
oxford-3000-american::absolutely::adv::B1,oxford-3000-american::absolutely::adv::B1,8,oxford-3000-american,The Oxford 3000™ (American English),B1,absolutely,absolutely,absolutely,,,adv.,อ ย่า ง แน่น อ น,อย่างแน่นอน,แอ เส อ ะ ลู ถ ล ี ่,แอเสอะลูถลี่,,,,,draft,2026-07-08T07:49:17.527+00:00,2026-07-08T08:29:22.770+00:00
